product_3_pairs,count_of_3_pairs
"Water Bottle - 30 oz., Road Bottle Cage, Road-750 Black",380
"Mountain Tire Tube, Sport-100 Helmet,  Black",359
"Mountain Tire Tube, Sport-100 Helmet,  Red",350
"Mountain Tire Tube, Sport-100 Helmet,  Blue",348
"Water Bottle - 30 oz., Sport-100 Helmet,  Red",321
"Mountain Tire Tube, Sport-100 Helmet, HL Mountain Tire",320
"Water Bottle - 30 oz., Sport-100 Helmet,  Blue",294
"Water Bottle - 30 oz., Sport-100 Helmet,  Black",294
"Water Bottle - 30 oz., Mountain Bottle Cage, Sport-100 Helmet",284
"Water Bottle - 30 oz., Road Bottle Cage, Sport-100 Helmet",240
"Road Tire Tube, Sport-100 Helmet,  Black",237
"Road Tire Tube, Sport-100 Helmet,  Red",236
"Mountain Tire Tube, ML Mountain Tire, Sport-100 Helmet",223
"Road Tire Tube, Sport-100 Helmet,  Blue",215
"Water Bottle - 30 oz., Mountain Bottle Cage, Mountain-200 Black",202
"Water Bottle - 30 oz., Mountain Bottle Cage, Mountain-200 Silver",189
"Water Bottle - 30 oz., Mountain Bottle Cage, Fender Set - Mountain",185
"Patch Kit/8 Patches, Mountain Tire Tube, HL Mountain Tire",178
"Fender Set - Mountain, Sport-100 Helmet,  Red",170
"Touring Tire Tube, Touring Tire, Sport-100 Helmet",168
"Half-Finger Gloves, Sport-100 Helmet,  Blue",168
"Half-Finger Gloves,  S, Sport-100 Helmet",165
"Road Tire Tube, Sport-100 Helmet, HL Road Tire",161
"Sport-100 Helmet,  Red,  46",160
"Half-Finger Gloves,  M, Sport-100 Helmet",160
"Water Bottle - 30 oz., Road Bottle Cage,  44",159
"Sport-100 Helmet,  Blue, Long-Sleeve Logo Jersey",158
"Water Bottle - 30 oz., Road Bottle Cage,  58",158
"Half-Finger Gloves,  L, Sport-100 Helmet",157
"Half-Finger Gloves, Sport-100 Helmet,  Black",157
"Half-Finger Gloves, Sport-100 Helmet,  Red",157
"Sport-100 Helmet,  Red, Long-Sleeve Logo Jersey",154
"Road Tire Tube, ML Road Tire, Sport-100 Helmet",153
"Fender Set - Mountain, Sport-100 Helmet,  Black",152
"Mountain Bottle Cage, Sport-100 Helmet,  Blue",152
"Mountain Bottle Cage, Sport-100 Helmet,  Red",151
"Road Bottle Cage, Road-750 Black,  52",150
"Mountain Tire Tube, Mountain-200 Black, HL Mountain Tire",149
"Water Bottle - 30 oz., Mountain Bottle Cage,  46",148
"Sport-100 Helmet,  Blue,  42",148
"Sport-100 Helmet,  Blue,  46",147
"Sport-100 Helmet,  Red,  42",147
"Mountain Bottle Cage, Sport-100 Helmet,  Black",147
"Sport-100 Helmet,  Black,  46",144
"Sport-100 Helmet,  Black, HL Mountain Tire",144
"Fender Set - Mountain, Sport-100 Helmet,  Blue",144
"Sport-100 Helmet,  Blue, Road-550-W Yellow",143
"Sport-100 Helmet,  Red, Road-750 Black",143
"AWC Logo Cap, Water Bottle - 30 oz., Mountain Bottle Cage",142
"Water Bottle - 30 oz., Road Bottle Cage,  48",142
